id,data_type,loan_type,purchased_bal_gp,district,payer_3yr,balance_proxy,raw_repay_prob,calibrated_repay_prob,predicted_payer_flag,expected_value_proxy,gross_high_priority_agent_call,net_high_priority_agent_call,gross_medium_priority_auto_dialer,net_medium_priority_auto_dialer,gross_low_priority_sms_email,net_low_priority_sms_email,recommended_action,expected_gross_recovery,expected_net_recovery,recommended_contact_cost,policy_rank
3432,T,Credit Card,03. <=25k,TSEUNG KWAN O,N,17500,0.11322408,0.026731565571080546,N,467.80239749390955,163.73083912286833,78.73083912286833,117.8862041684652,105.8862041684652,57.30579369300391,55.80579369300391,Write-off / Ignore,0.0,0.0,0.0,0
4202,M,Credit Card,03. <=25k,KOWLOON BAY,N,17500,0.11283904,0.026652023164868175,N,466.4104053851931,163.24364188481758,78.24364188481758,117.53542215706865,105.53542215706865,57.13527465968615,55.63527465968615,Write-off / Ignore,0.0,0.0,0.0,0
11742,M,Personal Loan,03. <=25k,WAN CHAI GAP,N,17500,0.112802394,0.026644451712679276,N,466.2779049718873,163.19726674016056,78.19726674016056,117.5020320529156,105.5020320529156,57.11904335905619,55.61904335905619,Write-off / Ignore,0.0,0.0,0.0,0
2586,M,Credit Card,03. <=25k,WAH FU,N,17500,0.112727165,0.026628909977757995,N,466.0059246107649,163.10207361376771,78.10207361376771,117.43349300191275,105.43349300191275,57.0857257648187,55.5857257648187,Write-off / Ignore,0.0,0.0,0.0,0
2106,M,Personal Loan,02. <=10k,CHAI WAN,N,7500,0.11271221,0.02662582068987316,N,199.6936551740487,69.89277931091704,-15.107220689082965,50.322801103860265,38.322801103860265,24.46247275882096,22.96247275882096,Write-off / Ignore,0.0,0.0,0.0,0
325,M,Credit Card,03. <=25k,MONG KOK,N,17500,0.112415485,0.026564516349384493,N,464.87903611422865,162.70766263998001,77.70766263998001,117.1495171007856,105.1495171007856,56.947681923993,55.447681923993,Write-off / Ignore,0.0,0.0,0.0,0
4957,M,Overdraft,03. <=25k,SHA TIN,N,17500,0.11216324,0.026512398748485093,N,463.9669780984891,162.38844233447116,77.38844233447116,116.91967848081923,104.91967848081923,56.8359548170649,55.3359548170649,Write-off / Ignore,0.0,0.0,0.0,0
2463,M,Credit Card,03. <=25k,SHEUNG WAN,N,17500,0.1117851,0.02643426492197484,N,462.59963613455966,161.90987264709588,76.90987264709588,116.57510830590903,104.57510830590903,56.668455426483554,55.168455426483554,Write-off / Ignore,0.0,0.0,0.0,0
2436,T,Credit Card,03. <=25k,NORTH POINT,N,17500,0.111714214,0.026419617495776888,N,462.34330617609555,161.82015716163343,76.82015716163343,116.51051315637606,104.51051315637606,56.6370550065717,55.1370550065717,Write-off / Ignore,0.0,0.0,0.0,0
10453,M,Credit Card,03. <=25k,LAM TIN,N,17500,0.11128141,0.026330179209061146,N,460.77813615857,161.2723476554995,76.27234765549949,116.11609031195962,104.11609031195962,56.445321679424815,54.945321679424815,Write-off / Ignore,0.0,0.0,0.0,0
